Template Name,YAML File,Documentation Link
Operational Best Practices for PCI DSS 4.0 (Including global resource types),Operational-Best-Practices-for-PCI-DSS-v4.0-including-global-resourcetypes.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-pci-dss-v4-including-global-resource-types.html
Operational Best Practices for Publicly Accessible Resources,Operational-Best-Practices-for-Publicly-Accessible-Resources.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-Publicly-Accessible-Resources.html
Operational Best Practices for RBI Cyber Security Framework for UCBs,Operational-Best-Practices-for-RBI-Basic-Cyber-Security-Framework.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-rbi-bcsf-ucb.html
Operational Best Practices for RBI MD-ITF,Operational-Best-Practices-for-RBI-MasterDirection.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-rbi-md-itf.html
Operational Best Practices for Security Identity and Compliance Services,Operational-Best-Practices-For-Security-Identity-and-Compliance-Services.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-Security-Identity-and-Compliance-Services.html
Operational Best Practices for Security Services,Operational-Best-Practices-for-Security-Services.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-Security-Identity-and-Compliance-Services.html
Operational Best Practices for Serverless,Operational-Best-Practices-for-Serverless.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-serverless.html
Operational Best Practices for Storage Services,Operational-Best-Practices-for-Storage-Services.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-Storage-Services.html
Operational Best Practices for SWIFT CSP,Operational-Best-Practices-for-SWIFT-CSP.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-swift-csp.html
Operational Best Practices for CIS AWS v1.3 Level 1,Operational-Best-Practices-for-CIS-AWS-v1.3-Level1.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-cis_aws_benchmark_level_1.html
Operational Best Practices for CIS AWS v1.3 Level 2,Operational-Best-Practices-for-CIS-AWS-v1.3-Level2.yaml,https://docs.aws.amazon.com/config/latest/developerguide/operational-best-practices-for-cis_aws_benchmark_level_2.html
Security Best Practices for Amazon Elastic Container Service (Amazon ECS),Security-Best-Practices-for-ECS.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-ECS.html
Security Best Practices for Amazon Elastic File System (Amazon EFS),Security-Best-Practices-for-EFS.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-EFS.html
Security Best Practices for Amazon Elastic Kubernetes Service (Amazon EKS),Security-Best-Practices-for-EKS.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-EKS.html
Security Best Practices for Amazon CloudFront,Security-Best-Practices-for-CloudFront.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-CloudFront.html
Security Best Practices for Amazon OpenSearch Service,Security-Best-Practices-for-Amazon-OpenSearch-Service.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-OpenSearch.html
Security Best Practices for Amazon Redshift,Security-Best-Practices-for-Redshift.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-redshift.html
Security Best Practices for Amazon Relational Database Service (Amazon RDS),Security-Best-Practices-for-RDS.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-RDS.html
Security Best Practices for AWS Auto Scaling,Security-Best-Practices-for-AutoScaling.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-AutoScaling.html
Security Best Practices for AWS CloudTrail,Security-Best-Practices-for-CloudTrail.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-CloudTrail.html
Security Best Practices for AWS CodeBuild,Security-Best-Practices-for-CodeBuild.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-CodeBuild.html
Security Best Practices for Amazon ECR,Security-Best-Practices-for-ECR.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-ECR.html
Security Best Practices for AWS Lambda,Security-Best-Practices-for-Lambda.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-Lambda.html
Security Best Practices for AWS Network Firewall,Security-Best-Practices-for-Network-Firewall.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-Network-Firewall.html
Security Best Practices for Amazon SageMaker AI,Security-Best-Practices-for-SageMaker.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-SageMaker.html
Security Best Practices for AWS Secrets Manager,Security-Best-Practices-for-Secrets-Manager.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-Secrets-Manager.html
Security Best Practices for AWS WAF,Security-Best-Practices-for-AWS-WAF.yaml,https://docs.aws.amazon.com/config/latest/developerguide/security-best-practices-for-aws-waf.html
Custom Conformance Pack (Example),custom-conformance-pack.yaml,https://docs.aws.amazon.com/config/latest/developerguide/conformance-pack-sample-templates.html
